latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.84135,-121.78581,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,304.8,152.6,D
37.84356,-121.77808,341.8,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,300.1,16.9,D
37.84241,-121.78208,351.6,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,303,16.9,D
37.49235,-121.42803,367,0.5,0.65,2020-08-16,2006,1,VIIRS,h,2.0NRT,305.4,45.8,D
37.46629,-121.75466,367,0.52,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,297.2,14.2,D
37.47404,-121.75043,353.9,0.52,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,297,10.7,D
37.4754,-121.7457,338.4,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,295,10.7,D
37.49446,-121.43254,355.3,0.49,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,302.2,80.5,D
37.50241,-121.42727,367,0.49,0.65,2020-08-16,2006,1,VIIRS,h,2.0NRT,302.7,84.3,D
37.50105,-121.43198,207.9,0.49,0.65,2020-08-16,2006,1,VIIRS,l,2.0NRT,322.4,80.5,D
37.4695,-121.7662,367,0.52,0.67,2020-08-16,2006,1,VIIRS,h,2.0NRT,299.8,14.2,D
37.47218,-121.75687,367,0.52,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,298.6,14.2,D
37.62651,-121.77158,330.5,0.51,0.66,2020-08-16,2006,1,VIIRS,l,2.0NRT,303.2,4.7,D
37.84859,-121.7917,351.8,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,306,44.5,D
37.84966,-121.78802,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,298.6,44.5,D
37.84068,-121.79658,341.8,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,297.9,90.1,D
37.57113,-121.4563,339.4,0.49,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,302,3.4,D
37.55951,-121.84579,349.2,0.52,0.67,2020-08-16,2006,1,VIIRS,n,2.0NRT,300.7,6.9,D
37.56103,-121.84056,345.5,0.52,0.67,2020-08-16,2006,1,VIIRS,n,2.0NRT,299.6,6.9,D
37.51204,-121.85127,342.1,0.52,0.67,2020-08-16,2006,1,VIIRS,n,2.0NRT,299.9,4.1,D
37.50635,-121.84827,349.9,0.52,0.67,2020-08-16,2006,1,VIIRS,n,2.0NRT,298.8,5.6,D
37.51084,-121.85019,367,0.52,0.67,2020-08-16,2006,1,VIIRS,h,2.0NRT,301.8,15.1,D
37.49356,-121.42377,330.4,0.49,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,297.4,14.6,D
37.49101,-121.43279,348.4,0.5,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,306.5,45.8,D
37.62751,-121.77472,334.8,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,303.7,5.6,D
37.50009,-121.42337,367,0.49,0.65,2020-08-16,2006,1,VIIRS,h,2.0NRT,300,123.6,D
37.49883,-121.42784,367,0.49,0.65,2020-08-16,2006,1,VIIRS,h,2.0NRT,328,123.6,D
37.49746,-121.43269,348.7,0.5,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,302.7,117.4,D
37.83139,-121.77531,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,300.7,37.7,D
37.83037,-121.77885,353.7,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,304.5,86.3,D
37.83912,-121.79359,344.6,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,302.9,92,D
37.82928,-121.78265,342.5,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,313.7,86.3,D
37.82806,-121.7869,348.5,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,300.9,61.7,D
37.83694,-121.77857,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,304,16.9,D
37.83587,-121.78231,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,306.8,152.6,D
37.83809,-121.77458,348.2,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,298.7,16.9,D
37.84754,-121.7953,339.1,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,308.9,90.1,D
37.49585,-121.42773,367,0.49,0.65,2020-08-16,2006,1,VIIRS,h,2.0NRT,301.9,80.5,D
37.49711,-121.42337,339.9,0.49,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,299.1,84.3,D
37.46291,-121.76641,355.1,0.52,0.67,2020-08-16,2006,1,VIIRS,n,2.0NRT,298.9,14.2,D
37.83353,-121.79046,342.1,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,302.5,92,D
37.83478,-121.78609,279.6,0.51,0.66,2020-08-16,2006,1,VIIRS,l,2.0NRT,321.1,152.6,D
37.4671,-121.77455,337.4,0.52,0.67,2020-08-16,2006,1,VIIRS,n,2.0NRT,299.7,14.4,D
37.48578,-121.42857,367,0.5,0.65,2020-08-16,2006,1,VIIRS,h,2.0NRT,300.4,45.8,D
37.48429,-121.43382,353.3,0.5,0.65,2020-08-16,2006,1,VIIRS,n,2.0NRT,299.5,42.4,D
37.84409,-121.78485,348.1,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,304,44.5,D
37.84519,-121.7811,347.5,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,300.9,16.9,D
37.84301,-121.78856,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,305.6,44.5,D
37.8447,-121.79675,353.8,0.51,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,301.1,57.6,D
37.84686,-121.78917,356,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,308.6,180.8,D
37.8491,-121.78136,330.9,0.5,0.66,2020-08-16,2006,1,VIIRS,n,2.0NRT,301.5,14.6,D
37.84794,-121.78542,367,0.5,0.66,2020-08-16,2006,1,VIIRS,h,2.0NRT,300.9,14.6,D
37.49662,-121.43213,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.1,35.7,D
37.4964,-121.43608,335.9,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,310.1,35.7,D
37.50228,-121.42676,343.2,0.37,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.5,21.5,D
37.50203,-121.43116,346.2,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,311.3,35.7,D
37.56235,-121.84317,347,0.35,0.56,2020-08-16,2148,1,VIIRS,n,2.0NRT,303.7,6,D
37.5621,-121.84718,367,0.35,0.56,2020-08-16,2148,1,VIIRS,h,2.0NRT,307.1,8.8,D
37.50979,-121.84452,331,0.35,0.56,2020-08-16,2148,1,VIIRS,n,2.0NRT,300.7,5.5,D
37.50946,-121.84988,367,0.35,0.56,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.9,5.5,D
37.50418,-121.85045,352,0.35,0.56,2020-08-16,2148,1,VIIRS,n,2.0NRT,301.5,5.5,D
37.50388,-121.85548,367,0.35,0.56,2020-08-16,2148,1,VIIRS,h,2.0NRT,305,13.7,D
37.46185,-121.76516,339.1,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,310.2,57.5,D
37.4669,-121.77013,348.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,305.2,24.4,D
37.46817,-121.74821,355.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302,12.3,D
37.46621,-121.43549,352.8,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,296.8,100.2,D
37.46643,-121.43194,330.6,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,295.9,100.2,D
37.49342,-121.42893,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,302.7,39,D
37.49316,-121.43304,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,307.1,51.4,D
37.49293,-121.43691,339.3,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.4,51.4,D
37.4665,-121.77716,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,309.8,49.5,D
37.57548,-121.45917,337.4,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,305.8,4.5,D
37.84496,-121.79869,333.3,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,296.9,10.5,D
37.84526,-121.79357,356.2,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,300.5,10.5,D
37.84563,-121.78752,344.8,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,288.6,19,D
37.83994,-121.79428,337.3,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,297.2,14,D
37.8406,-121.78342,349,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,292.3,10.8,D
37.49887,-121.42751,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,301.9,23.5,D
37.49861,-121.43179,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,308.2,39.2,D
37.49836,-121.43581,337.5,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,308.4,39.2,D
37.50431,-121.42645,354,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.6,23.5,D
37.50404,-121.43082,342.1,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,307.2,39.2,D
37.82485,-121.78182,347.3,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,297.6,16.2,D
37.49141,-121.42941,367,0.37,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,301.3,43.3,D
37.49118,-121.43351,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,307,93.4,D
37.46223,-121.75917,351.1,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,311.1,147.7,D
37.46241,-121.75625,355.9,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,310.8,147.7,D
37.46302,-121.7465,345.1,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,298.3,8.9,D
37.4626,-121.75319,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.1,26.6,D
37.48556,-121.43826,347,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.5,93.4,D
37.85062,-121.79227,349.6,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,285.2,10.5,D
37.5018,-121.43529,349.9,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.7,35.7,D
37.0407,-122.17841,331.6,0.33,0.55,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.5,2.3,D
37.03539,-122.18125,337.2,0.33,0.55,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.6,1.9,D
37.46281,-121.74986,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,301.4,26.6,D
37.45687,-121.76058,345.9,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,301.6,57.5,D
37.45773,-121.74704,330.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,295.1,26.6,D
37.47651,-121.44246,335.6,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,298.9,74.2,D
37.47726,-121.42989,354.8,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,311,64.9,D
37.47751,-121.42583,344.7,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,296.7,64.9,D
37.47676,-121.43818,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,342.2,135.2,D
37.47702,-121.43401,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,347.9,135.2,D
37.47124,-121.44099,207.9,0.36,0.58,2020-08-16,2148,1,VIIRS,l,2.0NRT,318.1,126.3,D
