latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.95082,-122.39911,303.1,0.39,0.44,2020-08-16,0936,N,VIIRS,n,2.0NRT,288.2,1.7,N
37.88188,-121.18634,307.4,0.51,0.41,2020-08-16,0936,N,VIIRS,n,2.0NRT,296,1.4,N
37.94184,-122.39156,295.2,0.39,0.44,2020-08-16,0936,N,VIIRS,n,2.0NRT,280.6,0.7,N
37.83954,-121.77837,355.8,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,311.2,35.3,D
37.8381,-121.78694,367,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,339.1,60.8,D
37.83738,-121.79126,367,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,328.1,60.8,D
37.84284,-121.77939,346.2,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,312.1,10.2,D
37.84213,-121.78365,352.5,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,315.1,10.2,D
37.84141,-121.78792,352.1,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,325.1,33.9,D
37.84069,-121.79223,367,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,325.7,33.9,D
37.84544,-121.78462,353,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,314.9,10.2,D
37.84473,-121.78889,349.8,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,316.9,33.9,D
37.84328,-121.79752,354.9,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,314.3,30.1,D
37.84401,-121.79316,354.4,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,330.3,33.9,D
37.84733,-121.79411,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,337.9,37.1,D
37.84875,-121.78559,344.3,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,312.9,10.3,D
37.24127,-122.24889,331.3,0.41,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,298.5,2.1,D
37.4665,-121.75428,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,308.3,21.6,D
37.46571,-121.759,356.9,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,312.7,34.7,D
37.46492,-121.76375,356.7,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,321,34.7,D
37.46414,-121.76842,354,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,318,10.3,D
37.46337,-121.77301,344,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,307.9,10.3,D
37.46984,-121.75512,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,307.7,21.6,D
37.46906,-121.75982,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,312.9,34.7,D
37.46749,-121.76917,353.5,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,315.1,10.3,D
37.46672,-121.77379,353,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,315.4,10.3,D
37.4724,-121.76064,356.4,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,309.9,16.6,D
37.47163,-121.76528,352,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,312.2,16.6,D
37.47085,-121.7699,353.1,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,314.4,19,D
37.49569,-121.43328,354.6,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,311.9,76,D
37.4924,-121.43228,351,0.39,0.36,2020-08-16,2054,N,VIIRS,l,2.0NRT,333.5,76,D
37.49313,-121.42789,349.3,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,311.3,37.1,D
37.48911,-121.43128,354.9,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,315.9,24.8,D
37.48508,-121.43477,340.4,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,302.2,24.8,D
37.48581,-121.43034,344.4,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,307.9,24.8,D
37.4825,-121.42947,336.6,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,303.5,90.6,D
37.48177,-121.43388,367,0.39,0.36,2020-08-16,2054,N,VIIRS,h,2.0NRT,350.4,90.6,D
37.85136,-121.79079,346.1,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,306.4,37.1,D
37.8466,-121.79845,347.2,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,304.5,7.1,D
37.84803,-121.78988,354.5,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,324.3,37.1,D
37.47007,-121.77454,350.4,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,317.4,19,D
37.4693,-121.77917,339,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,310.6,15.7,D
37.47342,-121.77534,351.9,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,319.4,19,D
37.47845,-121.43301,347.5,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,309.3,90.6,D
37.03846,-122.1798,355.8,0.41,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,306.3,29,D
37.47754,-121.77151,355,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,304.9,28.7,D
37.1053,-122.2819,337.7,0.41,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,299.1,3.9,D
37.4742,-121.77071,356.1,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,312.6,19,D
37.04264,-122.17605,334.8,0.41,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,300.1,4.3,D
37.04186,-122.18058,344.6,0.41,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,308.3,29,D
37.04107,-122.18512,303.9,0.41,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,304.4,29,D
37.47772,-121.43742,332.9,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,302.4,80.6,D
37.56351,-121.84547,352.1,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,305,5.8,D
37.51453,-121.84631,334.2,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,305,66.6,D
37.50976,-121.8539,339.4,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,307.6,19.2,D
37.5057,-121.85732,335.8,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,306.2,14.5,D
37.50643,-121.85298,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,313,14.5,D
37.49714,-121.42454,335.4,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,305.4,37.1,D
37.50043,-121.42548,348.2,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,308.8,25.5,D
37.50374,-121.42644,346.6,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,307.9,25.5,D
37.50229,-121.43519,347.1,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,312.2,56.3,D
37.50301,-121.43079,352.4,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,322,25.5,D
37.49972,-121.42983,355.2,0.39,0.36,2020-08-16,2054,N,VIIRS,n,2.0NRT,319.3,25.5,D
37.82817,-121.78403,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,326.5,94.8,D
37.46236,-121.75822,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,313.3,48.7,D
37.82889,-121.77972,345.6,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,310.1,103.6,D
37.8322,-121.7807,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,339.8,103.6,D
37.83148,-121.78499,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,335.3,94.8,D
37.83551,-121.78168,353.5,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,323.1,35.3,D
37.83406,-121.79032,346.1,0.4,0.37,2020-08-16,2054,N,VIIRS,n,2.0NRT,315.7,60.8,D
37.83479,-121.78596,367,0.4,0.37,2020-08-16,2054,N,VIIRS,l,2.0NRT,335.4,60.8,D
37.83882,-121.78265,367,0.4,0.37,2020-08-16,2054,N,VIIRS,h,2.0NRT,315.4,35.3,D
37.46222,-121.45138,304.8,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,279.6,0.8,N
37.47232,-121.74348,339.7,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.4,8.1,N
37.46726,-121.74384,321,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,282.5,8.1,N
37.47878,-121.74572,342.3,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,294.8,9.4,N
37.46541,-121.42732,309.2,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,283.7,3.1,N
37.47155,-121.43288,306,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,273.6,1.3,N
37.46166,-121.44396,305.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,283.4,2.1,N
37.48516,-121.78429,342.1,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.7,5,N
37.48307,-121.7524,352.5,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,294.4,9.2,N
37.47359,-121.74432,335.9,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.8,9.4,N
37.4999,-121.85325,314.9,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.4,1.3,N
37.46849,-121.74409,330.8,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,284.5,7.4,N
37.45749,-121.73244,306.6,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.3,2.1,N
37.83642,-121.79131,303.6,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.9,2.4,N
37.83539,-121.77596,332.9,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,283.2,2.9,N
37.50707,-121.4403,334.7,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.6,15.8,N
37.50656,-121.4332,333.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,294.5,15.3,N
37.86596,-121.77434,324.5,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.4,1.5,N
37.8662,-121.77781,310.2,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.8,2.2,N
37.86572,-121.77084,314.5,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.6,1.5,N
37.85698,-121.79279,313.1,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.4,2.1,N
37.85677,-121.78967,315.9,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.8,2.3,N
37.842,-121.79829,305.8,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,288,1,N
37.46664,-121.43422,309.7,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,278.3,1.3,N
37.46609,-121.4262,306.8,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,280.7,1.3,N
37.44635,-121.4398,316.9,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.7,4.9,N
37.85247,-121.8018,332,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.6,3.1,N
37.46275,-121.45033,304.2,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,278.9,1.5,N
37.48352,-121.75929,316.6,0.64,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.8,6.7,N
37.48044,-121.79013,308.4,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.3,6.9,N
37.4799,-121.78178,308.1,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.6,5,N
37.47964,-121.77776,309.7,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,291,1.9,N
37.50502,-121.85323,302.4,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,282.9,1,N
37.46763,-121.44851,301,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,270.7,0.6,N
37.47798,-121.45348,309.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,266.4,2.5,N
37.47597,-121.42452,344,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,279,8.5,N
37.46048,-121.42819,311.9,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.8,3.1,N
37.47647,-121.43173,325.6,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.3,8.5,N
37.48094,-121.42414,338,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.3,8.5,N
37.48142,-121.43101,326.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,272.4,8.5,N
37.48593,-121.42399,304.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.7,4.2,N
37.48693,-121.43828,305.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,281.2,2.9,N
37.48639,-121.43063,336.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,278.8,4.2,N
37.47937,-121.77364,312.6,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,289.8,1.9,N
